season,min_minutes,model_type,model_name,RMSE,R2
2021,0,dummy,0_dummy,14.72685,0.11543210
2021,5,dummy,5_dummy,14.71904,0.11637046
2021,10,dummy,10_dummy,14.65560,0.12397112
2021,15,dummy,15_dummy,14.62885,0.12716540
2021,20,dummy,20_dummy,14.67856,0.12122336
2021,25,dummy,25_dummy,14.71150,0.11727601
2021,30,dummy,30_dummy,14.89915,0.09461242
2022,0,dummy,0_dummy,15.14715,0.16658871
2022,5,dummy,5_dummy,15.11181,0.17047303
2022,10,dummy,10_dummy,15.26220,0.15388036
2022,15,dummy,15_dummy,15.53337,0.12354639
2022,20,dummy,20_dummy,15.51626,0.12547702
2022,25,dummy,25_dummy,15.52032,0.12501882
2022,30,dummy,30_dummy,15.84883,0.08758576
2023,0,dummy,0_dummy,14.82940,0.08917956
2023,5,dummy,5_dummy,14.72196,0.10232993
2023,10,dummy,10_dummy,14.57976,0.11958790
2023,15,dummy,15_dummy,14.55999,0.12197397
2023,20,dummy,20_dummy,14.54046,0.12432748
2023,25,dummy,25_dummy,14.79625,0.09324709
2023,30,dummy,30_dummy,14.79285,0.09366380
2024,0,dummy,0_dummy,16.05099,0.01183970
2024,5,dummy,5_dummy,14.61845,0.18035323
2024,10,dummy,10_dummy,14.80475,0.15932898
2024,15,dummy,15_dummy,14.83400,0.15600443
2024,20,dummy,20_dummy,14.90358,0.14806768
2024,25,dummy,25_dummy,14.90807,0.14755480
2024,30,dummy,30_dummy,14.82949,0.15651740
2025,0,dummy,0_dummy,14.13485,0.19503006
2025,5,dummy,5_dummy,14.15313,0.19294562
2025,10,dummy,10_dummy,14.20475,0.18704849
2025,15,dummy,15_dummy,14.42337,0.16183224
2025,20,dummy,20_dummy,14.65577,0.13460429
2025,25,dummy,25_dummy,14.85182,0.11129690
2025,30,dummy,30_dummy,15.11603,0.07939584
2021,0,no_dummy,0_no_dummy,14.72685,0.11543210
2021,5,no_dummy,5_no_dummy,14.72999,0.11505538
2021,10,no_dummy,10_no_dummy,14.66288,0.12310051
2021,15,no_dummy,15_no_dummy,14.66366,0.12300664
2021,20,no_dummy,20_no_dummy,14.70622,0.11790923
2021,25,no_dummy,25_no_dummy,14.75067,0.11256901
2021,30,no_dummy,30_no_dummy,14.84966,0.10061758
2022,0,no_dummy,0_no_dummy,15.14715,0.16658871
2022,5,no_dummy,5_no_dummy,15.29890,0.14980680
2022,10,no_dummy,10_no_dummy,15.56315,0.12018264
2022,15,no_dummy,15_no_dummy,15.88014,0.08397804
2022,20,no_dummy,20_no_dummy,15.80378,0.09276557
