"side","excluded_players","n_seasons","mean_coefficient","sd_coefficient","median_coefficient","negative_seasons","positive_seasons","zero_seasons","se_coefficient","ci_half_width"
"Away",1,17,0.784885664507287,1.18707684414487,0.594735410675556,3,14,0,0.287908424360834,0.610338594492974
"Away",2,17,0.241402187412587,0.563952358253311,0.167308607515645,7,10,0,0.136778537699681,0.289957546889287
"Away",3,17,-0.0467642580715253,0.22284978186663,-0.0521778977692212,12,2,3,0.0540490111342336,0.11457878512113
"Away",4,17,-0.0734686523180972,0.36576447320736,0,5,3,9,0.0887109151254321,0.18805873907317
"Away",5,17,0.0241477232063752,0.0915270274429484,0,1,3,13,0.0221985648085931,0.047058855172843
"Home",1,17,-1.50979944122127,0.959121495444145,-1.36147527452567,17,0,0,0.232621131383328,0.493134769130361
"Home",2,17,-0.605274204504963,0.472940001714044,-0.488832315335091,17,0,0,0.1147047989204,0.243163311077465
"Home",3,17,-0.358669269701114,0.468876959895622,-0.0977432584286982,13,0,4,0.11371936653342,0.241074287738282
"Home",4,17,-0.0684207344591702,0.139651458933616,0,5,2,10,0.0338704538797004,0.071802154666606
"Home",5,17,-0.0412718960955613,0.0905802706786962,0,4,0,13,0.0219689425650178,0.0465720777618686
