"season","min_minutes","side","excluded_players","n_stints","possession_exposure"
2007,0,"Home",0,20034,80810.5
2007,0,"Home",1,0,0
2007,0,"Home",2,0,0
2007,0,"Home",3,0,0
2007,0,"Home",4,0,0
2007,0,"Home",5,0,0
2007,0,"Away",0,20034,80810.5
2007,0,"Away",1,0,0
2007,0,"Away",2,0,0
2007,0,"Away",3,0,0
2007,0,"Away",4,0,0
2007,0,"Away",5,0,0
2007,5,"Home",0,19990,80677
2007,5,"Home",1,44,133.5
2007,5,"Home",2,0,0
2007,5,"Home",3,0,0
2007,5,"Home",4,0,0
2007,5,"Home",5,0,0
2007,5,"Away",0,19999,80673.5
2007,5,"Away",1,35,137
2007,5,"Away",2,0,0
2007,5,"Away",3,0,0
2007,5,"Away",4,0,0
2007,5,"Away",5,0,0
2007,10,"Home",0,19380,78382
2007,10,"Home",1,638,2387.5
2007,10,"Home",2,15,39
2007,10,"Home",3,1,2
2007,10,"Home",4,0,0
2007,10,"Home",5,0,0
2007,10,"Away",0,19423,78414
2007,10,"Away",1,584,2313.5
2007,10,"Away",2,26,80
2007,10,"Away",3,1,3
2007,10,"Away",4,0,0
2007,10,"Away",5,0,0
2007,15,"Home",0,15860,64816.5
2007,15,"Home",1,3575,13783.5
2007,15,"Home",2,531,1921
2007,15,"Home",3,59,263
2007,15,"Home",4,9,26.5
2007,15,"Home",5,0,0
2007,15,"Away",0,15674,63820
2007,15,"Away",1,3797,14863.5
2007,15,"Away",2,487,1887.5
2007,15,"Away",3,72,224.5
2007,15,"Away",4,4,15
2007,15,"Away",5,0,0
2007,20,"Home",0,6937,29075
2007,20,"Home",1,9098,36810.5
2007,20,"Home",2,3253,12139
2007,20,"Home",3,639,2342.5
2007,20,"Home",4,107,443.5
2007,20,"Home",5,0,0
2007,20,"Away",0,6802,29012.5
2007,20,"Away",1,8955,35535.5
2007,20,"Away",2,3410,12905.5
2007,20,"Away",3,763,2884
2007,20,"Away",4,101,455.5
2007,20,"Away",5,3,17.5
2007,25,"Home",0,797,4107.5
2007,25,"Home",1,4566,20203
2007,25,"Home",2,7288,28799
2007,25,"Home",3,5160,19453.5
2007,25,"Home",4,2001,7391
2007,25,"Home",5,222,856.5
2007,25,"Away",0,807,3902.5
2007,25,"Away",1,4562,20245.5
2007,25,"Away",2,7084,28077
2007,25,"Away",3,5264,19802
2007,25,"Away",4,2059,7834.5
2007,25,"Away",5,258,949
2007,30,"Home",0,30,192
2007,30,"Home",1,737,3841
2007,30,"Home",2,3861,17435
2007,30,"Home",3,6802,26900
2007,30,"Home",4,5828,21994.5
2007,30,"Home",5,2776,10448
2007,30,"Away",0,58,292
2007,30,"Away",1,648,3361.5
2007,30,"Away",2,3784,15810.5
2007,30,"Away",3,6632,26871.5
2007,30,"Away",4,5980,23212
2007,30,"Away",5,2932,11263
2008,0,"Home",0,19654,81918
2008,0,"Home",1,0,0
2008,0,"Home",2,0,0
2008,0,"Home",3,0,0
2008,0,"Home",4,0,0
2008,0,"Home",5,0,0
2008,0,"Away",0,19654,81918
2008,0,"Away",1,0,0
2008,0,"Away",2,0,0
2008,0,"Away",3,0,0
2008,0,"Away",4,0,0
2008,0,"Away",5,0,0
2008,5,"Home",0,19616,81774.5
2008,5,"Home",1,38,143.5
2008,5,"Home",2,0,0
2008,5,"Home",3,0,0
2008,5,"Home",4,0,0
2008,5,"Home",5,0,0
2008,5,"Away",0,19608,81757.5
2008,5,"Away",1,46,160.5
2008,5,"Away",2,0,0
2008,5,"Away",3,0,0
2008,5,"Away",4,0,0
2008,5,"Away",5,0,0
2008,10,"Home",0,19270,80570.5
2008,10,"Home",1,378,1333
2008,10,"Home",2,6,14.5
2008,10,"Home",3,0,0
2008,10,"Home",4,0,0
2008,10,"Home",5,0,0
2008,10,"Away",0,19176,80032
2008,10,"Away",1,472,1843
2008,10,"Away",2,6,43
2008,10,"Away",3,0,0
2008,10,"Away",4,0,0
2008,10,"Away",5,0,0
2008,15,"Home",0,15616,66231
2008,15,"Home",1,3659,14212
2008,15,"Home",2,349,1338
2008,15,"Home",3,27,131
2008,15,"Home",4,3,6
2008,15,"Home",5,0,0
2008,15,"Away",0,15585,66202
2008,15,"Away",1,3622,14051
2008,15,"Away",2,417,1553.5
2008,15,"Away",3,30,111.5
2008,15,"Away",4,0,0
2008,15,"Away",5,0,0
2008,20,"Home",0,7240,33108.5
2008,20,"Home",1,7824,31220
2008,20,"Home",2,3435,13136.5
2008,20,"Home",3,1011,3868
2008,20,"Home",4,134,519.5
2008,20,"Home",5,10,65.5
2008,20,"Away",0,7400,33690.5
2008,20,"Away",1,7605,30534.5
2008,20,"Away",2,3597,13598
2008,20,"Away",3,904,3485.5
2008,20,"Away",4,139,573
2008,20,"Away",5,9,36.5
2008,25,"Home",0,1371,6857
2008,25,"Home",1,5838,26179.5
2008,25,"Home",2,7282,29177.5
2008,25,"Home",3,3978,14991.5
2008,25,"Home",4,1051,4121.5
2008,25,"Home",5,134,591
2008,25,"Away",0,1395,6830
2008,25,"Away",1,5704,25289.5
2008,25,"Away",2,7213,29349
2008,25,"Away",3,4049,15540.5
2008,25,"Away",4,1112,4283
2008,25,"Away",5,181,626
2008,30,"Home",0,52,242.5
2008,30,"Home",1,599,3352
2008,30,"Home",2,3355,15447.5
2008,30,"Home",3,7147,29874
2008,30,"Home",4,6032,23419.5
2008,30,"Home",5,2469,9582.5
2008,30,"Away",0,72,397
2008,30,"Away",1,691,3604.5
2008,30,"Away",2,2996,14069
2008,30,"Away",3,7333,31060.5
2008,30,"Away",4,6047,23023.5
2008,30,"Away",5,2515,9763.5
2009,0,"Home",0,19131,83514.5
2009,0,"Home",1,0,0
2009,0,"Home",2,0,0
2009,0,"Home",3,0,0
2009,0,"Home",4,0,0
2009,0,"Home",5,0,0
2009,0,"Away",0,19131,83514.5
2009,0,"Away",1,0,0
2009,0,"Away",2,0,0
2009,0,"Away",3,0,0
2009,0,"Away",4,0,0
2009,0,"Away",5,0,0
2009,5,"Home",0,19082,83324
2009,5,"Home",1,48,184
2009,5,"Home",2,1,6.5
2009,5,"Home",3,0,0
2009,5,"Home",4,0,0
2009,5,"Home",5,0,0
2009,5,"Away",0,19073,83263
2009,5,"Away",1,57,246.5
2009,5,"Away",2,1,5
2009,5,"Away",3,0,0
2009,5,"Away",4,0,0
2009,5,"Away",5,0,0
2009,10,"Home",0,18741,81997
2009,10,"Home",1,384,1480.5
2009,10,"Home",2,6,37
2009,10,"Home",3,0,0
2009,10,"Home",4,0,0
2009,10,"Home",5,0,0
2009,10,"Away",0,18628,81487
2009,10,"Away",1,489,1959
2009,10,"Away",2,14,68.5
2009,10,"Away",3,0,0
2009,10,"Away",4,0,0
2009,10,"Away",5,0,0
2009,15,"Home",0,15579,68809
2009,15,"Home",1,3195,13357.5
2009,15,"Home",2,318,1213.5
2009,15,"Home",3,38,130
2009,15,"Home",4,1,4.5
2009,15,"Home",5,0,0
2009,15,"Away",0,15121,67704
2009,15,"Away",1,3461,13727.5
2009,15,"Away",2,490,1847.5
2009,15,"Away",3,54,213
2009,15,"Away",4,5,22.5
2009,15,"Away",5,0,0
2009,20,"Home",0,6908,32847.5
2009,20,"Home",1,7686,32546
2009,20,"Home",2,3731,14819.5
2009,20,"Home",3,718,2905
2009,20,"Home",4,85,357
2009,20,"Home",5,3,39.5
2009,20,"Away",0,6749,31968
2009,20,"Away",1,7716,32645.5
2009,20,"Away",2,3680,14985
2009,20,"Away",3,838,3291.5
2009,20,"Away",4,142,610
2009,20,"Away",5,6,14.5
2009,25,"Home",0,1671,8402.5
2009,25,"Home",1,5941,27781
2009,25,"Home",2,6937,28947.5
2009,25,"Home",3,3572,14296.5
2009,25,"Home",4,915,3693
2009,25,"Home",5,95,394
2009,25,"Away",0,1758,9174.5
2009,25,"Away",1,6004,27078
2009,25,"Away",2,6668,28335
2009,25,"Away",3,3485,14110.5
2009,25,"Away",4,1068,4289.5
2009,25,"Away",5,148,527
2009,30,"Home",0,40,242
2009,30,"Home",1,855,4256
2009,30,"Home",2,4491,21716
2009,30,"Home",3,6699,29345.5
2009,30,"Home",4,5298,21085
2009,30,"Home",5,1748,6870
2009,30,"Away",0,14,67.5
2009,30,"Away",1,1036,5236.5
2009,30,"Away",2,4180,20435
2009,30,"Away",3,6746,29178.5
2009,30,"Away",4,5248,21217
2009,30,"Away",5,1907,7380
2010,0,"Home",0,19571,84124.5
2010,0,"Home",1,0,0
2010,0,"Home",2,0,0
2010,0,"Home",3,0,0
2010,0,"Home",4,0,0
2010,0,"Home",5,0,0
2010,0,"Away",0,19571,84124.5
2010,0,"Away",1,0,0
2010,0,"Away",2,0,0
2010,0,"Away",3,0,0
2010,0,"Away",4,0,0
2010,0,"Away",5,0,0
2010,5,"Home",0,19508,83872
2010,5,"Home",1,58,238.5
2010,5,"Home",2,5,14
2010,5,"Home",3,0,0
2010,5,"Home",4,0,0
2010,5,"Home",5,0,0
2010,5,"Away",0,19491,83832.5
2010,5,"Away",1,71,254
2010,5,"Away",2,9,38
2010,5,"Away",3,0,0
2010,5,"Away",4,0,0
2010,5,"Away",5,0,0
2010,10,"Home",0,18972,81800.5
2010,10,"Home",1,567,2194.5
2010,10,"Home",2,32,129.5
2010,10,"Home",3,0,0
2010,10,"Home",4,0,0
2010,10,"Home",5,0,0
2010,10,"Away",0,18886,81542.5
2010,10,"Away",1,655,2461.5
2010,10,"Away",2,27,113
2010,10,"Away",3,3,7.5
2010,10,"Away",4,0,0
2010,10,"Away",5,0,0
