"season","min_minutes","dummy_penalty_ratio","model_type","model_name","RMSE","R2"
2007,10,2,"dummy","selected_dummy",12.6358628882269,0.116960081527961
2008,10,2,"dummy","selected_dummy",12.5432019049358,0.237265825733735
2009,10,2,"dummy","selected_dummy",11.5664574734936,0.154122908341889
2010,10,2,"dummy","selected_dummy",12.1035274940348,0.201155586062205
2011,10,2,"dummy","selected_dummy",12.1638423130524,0.170264445430689
2012,10,2,"dummy","selected_dummy",12.6387881459031,0.110906731468296
2013,10,2,"dummy","selected_dummy",12.3984364313097,0.16990960733283
2014,10,2,"dummy","selected_dummy",11.7924404619173,0.176988089896071
2015,10,2,"dummy","selected_dummy",12.1685873727581,0.221494805058557
2016,10,2,"dummy","selected_dummy",12.2915767350417,0.188137524439398
2017,10,2,"dummy","selected_dummy",12.5732294420864,0.11096445086224
2018,10,2,"dummy","selected_dummy",12.594404345485,0.177953189151849
2019,10,2,"dummy","selected_dummy",13.158049855436,0.192066774339367
2022,10,2,"dummy","selected_dummy",14.7644099510062,0.174746716918958
2023,10,2,"dummy","selected_dummy",13.8567012599417,0.126124732264348
2024,10,2,"dummy","selected_dummy",14.4289550512843,0.200557517445752
2025,10,2,"dummy","selected_dummy",14.6187237694502,0.23217824250358
2007,10,2,"no_dummy","selected_no_dummy",12.6475491143108,0.11532597451856
2008,10,2,"no_dummy","selected_no_dummy",12.5336067882799,0.23843231005346
2009,10,2,"no_dummy","selected_no_dummy",11.5699898561368,0.153606169690724
2010,10,2,"no_dummy","selected_no_dummy",12.0627909547796,0.206523838198976
2011,10,2,"no_dummy","selected_no_dummy",12.1751329127589,0.168723392924156
2012,10,2,"no_dummy","selected_no_dummy",12.6762528507803,0.105627904767814
2013,10,2,"no_dummy","selected_no_dummy",12.3895364168429,0.171100913177394
2014,10,2,"no_dummy","selected_no_dummy",11.8326519972164,0.171365674779482
2015,10,2,"no_dummy","selected_no_dummy",12.2106048668029,0.216109247837895
2016,10,2,"no_dummy","selected_no_dummy",12.308748022805,0.18586760218887
2017,10,2,"no_dummy","selected_no_dummy",12.5789845967711,0.110150386643102
2018,10,2,"no_dummy","selected_no_dummy",12.6570568305299,0.16975409073603
2019,10,2,"no_dummy","selected_no_dummy",13.300885847521,0.174430678921068
2022,10,2,"no_dummy","selected_no_dummy",14.8796131043615,0.161817965684506
2023,10,2,"no_dummy","selected_no_dummy",13.9594295015078,0.113119553876128
2024,10,2,"no_dummy","selected_no_dummy",14.4935714449118,0.193381286526715
2025,10,2,"no_dummy","selected_no_dummy",14.7558898063412,0.217701853405376
