"season","min_minutes","dummy_penalty_ratio","model_type","RMSE","R2"
2007,10,2.2,"dummy",12.6361968593328,0.116913402687262
2008,10,2.2,"dummy",12.5423192053762,0.237373173352801
2009,10,2.2,"dummy",11.5666575340519,0.154093646468556
2010,10,2.2,"dummy",12.1012867719034,0.201451338299518
2011,10,2.2,"dummy",12.1646743847448,0.170150924873144
2012,10,2.2,"dummy",12.6409918383498,0.110596660770404
2013,10,2.2,"dummy",12.3973873971383,0.170050069616621
2014,10,2.2,"dummy",11.7947817677497,0.176661251040288
2015,10,2.2,"dummy",12.1709327114427,0.221194682415029
2016,10,2.2,"dummy",12.2921104718207,0.188067015947272
2017,10,2.2,"dummy",12.5736551566056,0.110904246481097
2018,10,2.2,"dummy",12.59610520334,0.177731141463277
2019,10,2.2,"dummy",13.1637786820775,0.191363096053912
2022,10,2.2,"dummy",14.7702240424787,0.174096634346669
2023,10,2.2,"dummy",13.8643200424998,0.125163508397491
2024,10,2.2,"dummy",14.4322780616435,0.200189249397777
2025,10,2.2,"dummy",14.6249172360664,0.231527503647545
2007,10,2.2,"no_dummy",12.6475491143108,0.11532597451856
2008,10,2.2,"no_dummy",12.5336067882799,0.23843231005346
2009,10,2.2,"no_dummy",11.5699898561368,0.153606169690724
2010,10,2.2,"no_dummy",12.0627909547796,0.206523838198976
2011,10,2.2,"no_dummy",12.1751329127589,0.168723392924156
2012,10,2.2,"no_dummy",12.6762528507803,0.105627904767814
2013,10,2.2,"no_dummy",12.3895364168429,0.171100913177394
2014,10,2.2,"no_dummy",11.8326519972164,0.171365674779482
2015,10,2.2,"no_dummy",12.2106048668029,0.216109247837895
2016,10,2.2,"no_dummy",12.308748022805,0.18586760218887
2017,10,2.2,"no_dummy",12.5789845967711,0.110150386643102
2018,10,2.2,"no_dummy",12.6570568305299,0.16975409073603
2019,10,2.2,"no_dummy",13.300885847521,0.174430678921068
2022,10,2.2,"no_dummy",14.8796131043615,0.161817965684506
2023,10,2.2,"no_dummy",13.9594295015078,0.113119553876128
2024,10,2.2,"no_dummy",14.4935714449118,0.193381286526715
2025,10,2.2,"no_dummy",14.7558898063412,0.217701853405376
