"season","min_minutes","side","excluded_players","n_stints","possession_exposure"
2007,10,"Away",0,19423,78414
2007,10,"Away",1,584,2313.5
2007,10,"Away",2,26,80
2007,10,"Away",3,1,3
2007,10,"Away",4,0,0
2007,10,"Away",5,0,0
2007,10,"Home",0,19380,78382
2007,10,"Home",1,638,2387.5
2007,10,"Home",2,15,39
2007,10,"Home",3,1,2
2007,10,"Home",4,0,0
2007,10,"Home",5,0,0
2008,10,"Away",0,19176,80032
2008,10,"Away",1,472,1843
2008,10,"Away",2,6,43
2008,10,"Away",3,0,0
2008,10,"Away",4,0,0
2008,10,"Away",5,0,0
2008,10,"Home",0,19270,80570.5
2008,10,"Home",1,378,1333
2008,10,"Home",2,6,14.5
2008,10,"Home",3,0,0
2008,10,"Home",4,0,0
2008,10,"Home",5,0,0
2009,10,"Away",0,18628,81487
2009,10,"Away",1,489,1959
2009,10,"Away",2,14,68.5
2009,10,"Away",3,0,0
2009,10,"Away",4,0,0
2009,10,"Away",5,0,0
2009,10,"Home",0,18741,81997
2009,10,"Home",1,384,1480.5
2009,10,"Home",2,6,37
2009,10,"Home",3,0,0
2009,10,"Home",4,0,0
2009,10,"Home",5,0,0
2010,10,"Away",0,18886,81542.5
2010,10,"Away",1,655,2461.5
2010,10,"Away",2,27,113
2010,10,"Away",3,3,7.5
2010,10,"Away",4,0,0
2010,10,"Away",5,0,0
2010,10,"Home",0,18972,81800.5
2010,10,"Home",1,567,2194.5
2010,10,"Home",2,32,129.5
2010,10,"Home",3,0,0
2010,10,"Home",4,0,0
2010,10,"Home",5,0,0
2011,10,"Away",0,19624,82341.5
2011,10,"Away",1,515,1914.5
2011,10,"Away",2,24,69.5
2011,10,"Away",3,0,0
2011,10,"Away",4,0,0
2011,10,"Away",5,0,0
2011,10,"Home",0,19756,82822.5
2011,10,"Home",1,388,1444
2011,10,"Home",2,19,59
2011,10,"Home",3,0,0
2011,10,"Home",4,0,0
2011,10,"Home",5,0,0
2012,10,"Away",0,12130,46931
2012,10,"Away",1,515,1911.5
2012,10,"Away",2,36,135
2012,10,"Away",3,6,36.5
2012,10,"Away",4,3,6
2012,10,"Away",5,0,0
2012,10,"Home",0,12124,46873.5
2012,10,"Home",1,490,1783
2012,10,"Home",2,57,246
2012,10,"Home",3,15,98
2012,10,"Home",4,4,19.5
2012,10,"Home",5,0,0
2013,10,"Away",0,16432,71296.5
2013,10,"Away",1,410,1586
2013,10,"Away",2,44,149.5
2013,10,"Away",3,6,30.5
2013,10,"Away",4,0,0
2013,10,"Away",5,0,0
2013,10,"Home",0,16541,71635.5
2013,10,"Home",1,310,1281.5
2013,10,"Home",2,36,126.5
2013,10,"Home",3,5,19
2013,10,"Home",4,0,0
2013,10,"Home",5,0,0
2014,10,"Away",0,16327,73097
2014,10,"Away",1,618,2471.5
2014,10,"Away",2,38,118.5
2014,10,"Away",3,11,41
2014,10,"Away",4,0,0
2014,10,"Away",5,0,0
2014,10,"Home",0,16254,72745
2014,10,"Home",1,678,2748.5
2014,10,"Home",2,54,203
2014,10,"Home",3,8,31.5
2014,10,"Home",4,0,0
2014,10,"Home",5,0,0
2015,10,"Away",0,17240,73026.5
2015,10,"Away",1,718,2704.5
2015,10,"Away",2,55,236.5
2015,10,"Away",3,6,11
2015,10,"Away",4,0,0
2015,10,"Away",5,0,0
2015,10,"Home",0,17255,73040.5
2015,10,"Home",1,716,2749.5
2015,10,"Home",2,44,166.5
2015,10,"Home",3,4,22
2015,10,"Home",4,0,0
2015,10,"Home",5,0,0
2016,10,"Away",0,17591,72557
2016,10,"Away",1,808,3100.5
2016,10,"Away",2,46,119.5
2016,10,"Away",3,7,15.5
2016,10,"Away",4,1,3
2016,10,"Away",5,0,0
2016,10,"Home",0,17755,73255
2016,10,"Home",1,659,2408
2016,10,"Home",2,35,118.5
2016,10,"Home",3,4,14
2016,10,"Home",4,0,0
2016,10,"Home",5,0,0
2017,10,"Away",0,17677,76812.5
2017,10,"Away",1,671,2654
2017,10,"Away",2,83,358.5
2017,10,"Away",3,14,47.5
2017,10,"Away",4,0,0
2017,10,"Away",5,0,0
2017,10,"Home",0,17670,76809
2017,10,"Home",1,690,2720.5
2017,10,"Home",2,75,298.5
2017,10,"Home",3,10,44.5
2017,10,"Home",4,0,0
2017,10,"Home",5,0,0
2018,10,"Away",0,23368,75165
2018,10,"Away",1,2172,6411.5
2018,10,"Away",2,242,848.5
2018,10,"Away",3,64,201.5
2018,10,"Away",4,24,73
2018,10,"Away",5,0,0
2018,10,"Home",0,23718,76133.5
2018,10,"Home",1,1869,5612.5
2018,10,"Home",2,229,747
2018,10,"Home",3,43,153.5
2018,10,"Home",4,11,53
2018,10,"Home",5,0,0
2019,10,"Away",0,23520,76897
2019,10,"Away",1,2115,6070.5
2019,10,"Away",2,326,1100.5
2019,10,"Away",3,67,243
2019,10,"Away",4,16,102.5
2019,10,"Away",5,0,0
2019,10,"Home",0,23724,77354
2019,10,"Home",1,1950,5674.5
2019,10,"Home",2,299,1029
2019,10,"Home",3,61,296
2019,10,"Home",4,10,60
2019,10,"Home",5,0,0
2022,10,"Away",0,28059,82431
2022,10,"Away",1,3248,8203
2022,10,"Away",2,445,1293
2022,10,"Away",3,127,433
2022,10,"Away",4,41,150
2022,10,"Away",5,4,14
2022,10,"Home",0,28641,83541
2022,10,"Home",1,2725,7168.5
2022,10,"Home",2,414,1253.5
2022,10,"Home",3,106,433.5
2022,10,"Home",4,32,109
2022,10,"Home",5,6,18.5
2023,10,"Away",0,29155,85540
2023,10,"Away",1,2867,7522.5
2023,10,"Away",2,518,1524
2023,10,"Away",3,120,411.5
2023,10,"Away",4,21,72
2023,10,"Away",5,7,38.5
2023,10,"Home",0,29754,86794
2023,10,"Home",1,2488,6845.5
2023,10,"Home",2,335,1074
2023,10,"Home",3,83,303.5
2023,10,"Home",4,22,78
2023,10,"Home",5,6,13.5
2024,10,"Away",0,26549,79451.5
2024,10,"Away",1,2944,7885
2024,10,"Away",2,573,1710
2024,10,"Away",3,154,603.5
2024,10,"Away",4,90,366
2024,10,"Away",5,10,49
2024,10,"Home",0,26739,79954
2024,10,"Home",1,2939,7770.5
2024,10,"Home",2,389,1224
2024,10,"Home",3,168,739
2024,10,"Home",4,75,317
2024,10,"Home",5,10,60.5
2025,10,"Away",0,27824,80954
2025,10,"Away",1,2617,6840
2025,10,"Away",2,432,1288
2025,10,"Away",3,183,653.5
2025,10,"Away",4,73,324
2025,10,"Away",5,24,79.5
2025,10,"Home",0,27413,79667.5
2025,10,"Home",1,2941,7758.5
2025,10,"Home",2,488,1438
