"season","game_id","team_id","n_starters"
2007,261223014,9,0
2007,261223014,14,0
2007,261225014,13,0
2007,261225014,14,0
2007,261227004,4,0
2007,261227004,14,0
2007,270207002,2,0
2007,270207002,14,1
2007,270404027,27,4
2012,320228011,9,0
2012,320228011,11,0
2013,400278127,14,0
2013,400278127,25,0
2013,400278386,5,0
2013,400278386,9,0
2013,400278387,8,0
2013,400278387,15,0
2013,400278388,6,0
2013,400278388,22,0
2013,400278389,3,0
2013,400278389,13,0
2014,400489088,11,0
2014,400489088,30,0
2017,400900132,1,0
2017,400900132,18,0
2018,400975023,16,6
2018,400975285,2,0
2018,400975285,17,0
2019,401070216,21,6
2019,401070239,20,6
2019,401070716,21,6
2019,401070728,21,6
2019,401070741,21,6
2019,401070761,21,6
2019,401070766,21,6
2019,401070804,21,6
2019,401070818,21,6
2019,401070832,21,6
2019,401070845,21,6
2019,401070857,21,6
2019,401070877,21,6
2019,401070892,21,6
2019,401070914,21,6
2019,401070917,18,0
2019,401070917,19,0
2019,401070938,21,6
2019,401071384,20,6
2019,401071406,20,6
